iteracao;melhor_custo;
0;52805,68801;
1;52184,10720;
2;52184,10720;
3;52184,10720;
4;52184,10720;
5;52184,10720;
6;52184,10720;
7;52184,10720;
8;52184,10720;
9;52184,10720;
10;52184,10720;
11;52184,10720;
12;52184,10720;
13;52184,10720;
14;51605,95239;
15;51605,95239;
16;51227,47956;
17;51227,47956;
18;51227,47956;
19;51227,47956;
20;51227,47956;
21;51227,47956;
22;51227,47956;
23;51227,47956;
24;51227,47956;
25;50953,37696;
26;50953,37696;
27;50953,37696;
28;50953,37696;
29;50953,37696;
30;50953,37696;
31;50953,37696;
32;50953,37696;
33;50953,37696;
34;50953,37696;
35;50953,37696;
36;50953,37696;
37;50953,37696;
38;50953,37696;
39;50953,37696;
40;50953,37696;
41;50953,37696;
42;50953,37696;
43;50953,37696;
44;50953,37696;
45;50953,37696;
46;50953,37696;
47;50953,37696;
48;50953,37696;
49;50953,37696;
50;50953,37696;
51;50953,37696;
52;50953,37696;
53;50953,37696;
54;50953,37696;
55;50953,37696;
56;50953,37696;
57;50953,37696;
58;50953,37696;
59;50953,37696;
60;50953,37696;
61;50866,55960;
62;50866,55960;
63;50866,55960;
64;50866,55960;
65;50558,65560;
66;50558,65560;
67;50558,65560;
68;50558,65560;
69;50558,65560;
70;50558,65560;
71;50558,65560;
72;50558,65560;
73;50558,65560;
74;50558,65560;
75;50558,65560;
76;50558,65560;
77;50558,65560;
78;50558,65560;
79;50558,65560;
80;49764,03737;
81;49764,03737;
82;49764,03737;
83;49764,03737;
84;49764,03737;
85;49764,03737;
86;49764,03737;
87;49764,03737;
88;49764,03737;
89;49764,03737;
90;49764,03737;
91;49764,03737;
92;49764,03737;
93;48978,36453;
94;48978,36453;
95;48978,36453;
96;48978,36453;
97;48978,36453;
98;48978,36453;
99;48978,36453;
100;48978,36453;
101;48978,36453;
102;48978,36453;
103;48978,36453;
104;48978,36453;
105;48978,36453;
106;48978,36453;
107;48978,36453;
108;48831,38911;
109;48831,38911;
110;48831,38911;
111;48831,38911;
112;48831,38911;
113;48831,38911;
114;48831,38911;
115;48831,38911;
116;48831,38911;
117;48300,30356;
118;48073,60224;
119;48073,60224;
120;48073,60224;
121;48073,60224;
122;48073,60224;
123;48073,60224;
124;48073,60224;
125;48073,60224;
126;48073,60224;
127;48073,60224;
128;48073,60224;
129;48073,60224;
130;48073,60224;
131;48073,60224;
132;48073,60224;
133;48073,60224;
134;48073,60224;
135;47941,86463;
136;47941,86463;
137;47941,86463;
138;47941,86463;
139;47941,86463;
140;47941,86463;
141;47377,33362;
142;47377,33362;
143;47377,33362;
144;47377,33362;
145;47377,33362;
146;47377,33362;
147;47377,33362;
148;47377,33362;
149;47377,33362;
150;47377,33362;
151;47377,33362;
152;47377,33362;
153;47377,33362;
154;47377,33362;
155;47377,33362;
156;47377,33362;
157;47377,33362;
158;47377,33362;
159;47377,33362;
160;47377,33362;
161;47377,33362;
162;47377,33362;
163;47377,33362;
164;47377,33362;
165;47377,33362;
166;47377,33362;
167;47377,33362;
168;47073,55282;
169;47073,55282;
170;47073,55282;
171;47073,55282;
172;47073,55282;
173;47073,55282;
174;47073,55282;
175;47073,55282;
176;47073,55282;
177;47073,55282;
178;47073,55282;
179;47073,55282;
180;47073,55282;
181;47073,55282;
182;47073,55282;
183;47073,55282;
184;47073,55282;
185;47073,55282;
186;47073,55282;
187;47073,55282;
188;47073,55282;
189;47073,55282;
190;47073,55282;
191;47073,55282;
192;46901,68905;
193;46901,68905;
194;46901,68905;
195;46901,68905;
196;46901,68905;
197;46901,68905;
198;46901,68905;
199;46901,68905;
200;46658,58323;
201;46658,58323;
202;46658,58323;
203;46658,58323;
204;46658,58323;
205;46658,58323;
206;46658,58323;
207;46658,58323;
208;46658,58323;
209;46658,58323;
210;46658,58323;
211;46658,58323;
212;46658,58323;
213;46658,58323;
214;46658,58323;
215;46658,58323;
216;46658,58323;
217;46658,58323;
218;46658,58323;
219;46658,58323;
220;46658,58323;
221;46658,58323;
222;46658,58323;
223;46658,58323;
224;46658,58323;
225;46658,58323;
226;46658,58323;
227;46658,58323;
228;46658,58323;
229;46658,58323;
230;46658,58323;
231;46658,58323;
232;46658,58323;
233;46658,58323;
234;46658,58323;
235;46658,58323;
