iteracao;melhor_custo;
0;59363,14434;
1;59363,14434;
2;59363,14434;
3;59363,14434;
4;58786,17775;
5;58786,17775;
6;58786,17775;
7;58786,17775;
8;58786,17775;
9;58786,17775;
10;58786,17775;
11;58786,17775;
12;57401,76268;
13;56516,74400;
14;56516,74400;
15;56516,74400;
16;56516,74400;
17;56516,74400;
18;56516,74400;
19;56516,74400;
20;56516,74400;
21;56516,74400;
22;56516,74400;
23;56516,74400;
24;56516,74400;
25;56516,74400;
26;56516,74400;
27;56516,74400;
28;56516,74400;
29;56516,74400;
30;56516,74400;
31;56516,74400;
32;56516,74400;
33;56516,74400;
34;56516,74400;
35;56516,74400;
36;56516,74400;
37;56516,74400;
38;56516,74400;
39;56516,74400;
40;56516,74400;
41;56516,74400;
42;56516,74400;
43;56516,74400;
44;56491,73753;
45;56491,73753;
46;56491,73753;
47;56491,73753;
48;56491,73753;
49;56491,73753;
50;56491,73753;
51;56491,73753;
52;56491,73753;
53;56491,73753;
54;56491,73753;
55;56491,73753;
56;56491,73753;
57;56491,73753;
58;56491,73753;
59;56491,73753;
60;56491,73753;
61;56491,73753;
62;56491,73753;
63;56491,73753;
64;56491,73753;
65;56491,73753;
66;56491,73753;
67;56491,73753;
68;56491,73753;
69;56491,73753;
70;56491,73753;
71;56491,73753;
72;56491,73753;
73;56491,73753;
74;56491,73753;
75;56491,73753;
76;56491,73753;
77;56491,73753;
78;56491,73753;
79;56491,73753;
80;56491,73753;
81;56491,73753;
82;56491,73753;
83;56491,73753;
84;56491,73753;
85;56491,73753;
86;56491,73753;
87;55777,22903;
88;55777,22903;
89;55777,22903;
90;55777,22903;
91;55777,22903;
92;55777,22903;
93;55777,22903;
94;55777,22903;
95;55777,22903;
96;55777,22903;
97;55777,22903;
98;55777,22903;
99;55777,22903;
100;55777,22903;
101;55777,22903;
102;55777,22903;
103;55777,22903;
104;55777,22903;
105;55777,22903;
106;55777,22903;
107;55777,22903;
108;55777,22903;
109;55777,22903;
110;55777,22903;
111;55777,22903;
112;55777,22903;
113;55777,22903;
114;55777,22903;
115;55777,22903;
116;55777,22903;
117;55777,22903;
118;55777,22903;
119;55777,22903;
120;55777,22903;
121;55777,22903;
122;55777,22903;
123;55777,22903;
124;55777,22903;
125;55777,22903;
126;55777,22903;
127;55777,22903;
128;55777,22903;
129;55777,22903;
130;55777,22903;
131;55777,22903;
132;55777,22903;
133;55777,22903;
134;55777,22903;
135;55777,22903;
136;55777,22903;
137;55729,56553;
138;55729,56553;
139;55729,56553;
140;55729,56553;
141;55729,56553;
142;55729,56553;
143;55729,56553;
144;55729,56553;
145;55729,56553;
146;55729,56553;
147;55729,56553;
148;55729,56553;
149;55729,56553;
150;55729,56553;
151;55729,56553;
152;55729,56553;
153;55729,56553;
154;55729,56553;
155;55729,56553;
156;55729,56553;
157;55729,56553;
158;55729,56553;
159;55729,56553;
160;55729,56553;
161;54674,16078;
162;54674,16078;
163;54674,16078;
164;54674,16078;
165;54674,16078;
166;54674,16078;
167;54674,16078;
168;54674,16078;
169;54674,16078;
170;54674,16078;
171;54674,16078;
172;54674,16078;
173;54674,16078;
174;54674,16078;
175;54674,16078;
176;54674,16078;
177;54674,16078;
178;54674,16078;
179;54674,16078;
180;54674,16078;
181;54674,16078;
182;54674,16078;
183;54674,16078;
184;54674,16078;
185;54674,16078;
186;54674,16078;
187;54674,16078;
188;54674,16078;
189;54674,16078;
190;54674,16078;
191;54674,16078;
192;54674,16078;
193;54674,16078;
194;54674,16078;
195;54674,16078;
196;54674,16078;
197;54674,16078;
198;54674,16078;
199;54674,16078;
200;54674,16078;
201;54674,16078;
202;54674,16078;
203;54674,16078;
204;54674,16078;
205;54674,16078;
206;54674,16078;
207;54674,16078;
208;54674,16078;
209;54674,16078;
210;54674,16078;
211;54674,16078;
212;54674,16078;
213;54674,16078;
214;54674,16078;
215;54674,16078;
216;54674,16078;
217;54674,16078;
218;54674,16078;
219;54674,16078;
220;54674,16078;
221;54674,16078;
222;54674,16078;
223;54674,16078;
224;54674,16078;
225;54674,16078;
226;54674,16078;
227;54674,16078;
228;54674,16078;
229;54674,16078;
230;54674,16078;
231;54674,16078;
232;54674,16078;
233;54674,16078;
234;54674,16078;
235;54674,16078;
236;54674,16078;
237;54674,16078;
238;54674,16078;
239;54674,16078;
240;54674,16078;
241;54674,16078;
242;54674,16078;
243;54674,16078;
244;54674,16078;
245;54674,16078;
246;54674,16078;
247;54674,16078;
248;54441,44847;
249;54441,44847;
250;54441,44847;
251;54441,44847;
252;54441,44847;
253;54441,44847;
254;54441,44847;
255;54441,44847;
256;54441,44847;
257;54441,44847;
258;54441,44847;
259;54441,44847;
260;54441,44847;
261;54441,44847;
262;54441,44847;
263;54441,44847;
264;54441,44847;
265;54441,44847;
266;54441,44847;
267;54441,44847;
268;54441,44847;
269;54441,44847;
270;54441,44847;
271;54441,44847;
272;54441,44847;
273;54441,44847;
274;54441,44847;
275;54441,44847;
276;54441,44847;
277;54441,44847;
278;54441,44847;
279;54441,44847;
280;54441,44847;
281;54441,44847;
282;54441,44847;
283;54441,44847;
284;54441,44847;
285;54441,44847;
286;54441,44847;
287;54441,44847;
288;54441,44847;
289;54441,44847;
290;54441,44847;
291;54441,44847;
292;54441,44847;
293;54441,44847;
294;54441,44847;
295;54441,44847;
296;54441,44847;
297;54441,44847;
298;54441,44847;
299;54441,44847;
300;54441,44847;
301;54441,44847;
302;54441,44847;
303;54441,44847;
304;54441,44847;
305;54441,44847;
306;54441,44847;
307;54441,44847;
308;54441,44847;
309;54441,44847;
310;54441,44847;
311;54441,44847;
312;54441,44847;
313;54441,44847;
314;54441,44847;
315;54441,44847;
316;54441,44847;
317;54441,44847;
318;54441,44847;
319;54441,44847;
320;54441,44847;
321;54441,44847;
322;54441,44847;
323;54441,44847;
324;54441,44847;
325;54441,44847;
326;54441,44847;
327;54441,44847;
328;54441,44847;
329;54441,44847;
330;54441,44847;
331;54441,44847;
332;54441,44847;
333;54441,44847;
334;54441,44847;
335;54441,44847;
336;54441,44847;
337;54441,44847;
338;54441,44847;
339;54441,44847;
340;52252,63182;
341;52252,63182;
342;52252,63182;
343;52252,63182;
344;52252,63182;
345;52252,63182;
346;52252,63182;
347;52252,63182;
348;52252,63182;
349;52252,63182;
350;52252,63182;
351;52252,63182;
352;52252,63182;
353;52252,63182;
354;52252,63182;
355;52252,63182;
356;52252,63182;
357;52252,63182;
358;52252,63182;
359;52252,63182;
360;52252,63182;
361;52252,63182;
362;52252,63182;
363;52252,63182;
364;52252,63182;
365;52252,63182;
366;52252,63182;
367;52252,63182;
368;52252,63182;
369;52252,63182;
370;52252,63182;
371;52252,63182;
372;52252,63182;
373;52252,63182;
374;52252,63182;
375;52252,63182;
376;52252,63182;
377;52252,63182;
378;52252,63182;
379;52252,63182;
380;52252,63182;
381;52252,63182;
382;52252,63182;
383;52252,63182;
384;52252,63182;
385;52252,63182;
386;52252,63182;
387;52252,63182;
388;52252,63182;
389;52252,63182;
390;52252,63182;
391;52252,63182;
392;52252,63182;
393;52252,63182;
394;52252,63182;
395;52252,63182;
396;52252,63182;
397;52252,63182;
398;52252,63182;
399;52252,63182;
400;52252,63182;
401;52252,63182;
402;52252,63182;
403;52252,63182;
404;52252,63182;
405;52252,63182;
406;52252,63182;
407;52252,63182;
408;52252,63182;
409;52252,63182;
410;52252,63182;
411;52252,63182;
412;52252,63182;
413;52252,63182;
414;52252,63182;
415;52252,63182;
416;52252,63182;
417;52252,63182;
418;52252,63182;
419;52252,63182;
420;52252,63182;
421;52252,63182;
422;52252,63182;
423;52252,63182;
424;52252,63182;
425;52252,63182;
426;52252,63182;
427;52252,63182;
428;52252,63182;
429;52252,63182;
430;51940,73587;
431;51022,90731;
432;51022,90731;
433;51022,90731;
434;51022,90731;
435;51022,90731;
436;51022,90731;
437;51022,90731;
438;51022,90731;
439;51022,90731;
440;51022,90731;
441;51022,90731;
442;51022,90731;
443;51022,90731;
444;51022,90731;
445;51022,90731;
446;51022,90731;
447;51022,90731;
448;51022,90731;
449;51022,90731;
450;51022,90731;
451;51022,90731;
452;51022,90731;
453;51022,90731;
454;51022,90731;
455;51022,90731;
456;51022,90731;
457;51022,90731;
458;51022,90731;
459;51022,90731;
460;51022,90731;
461;51022,90731;
462;51022,90731;
463;51022,90731;
464;51022,90731;
465;51022,90731;
466;51022,90731;
467;51022,90731;
468;51022,90731;
469;51022,90731;
470;51022,90731;
