iteracao;melhor_custo;
0;80784,05302;
1;80784,05302;
2;80784,05302;
3;80784,05302;
4;80784,05302;
5;80784,05302;
6;80784,05302;
7;80784,05302;
8;80784,05302;
9;80784,05302;
10;80784,05302;
11;80784,05302;
12;80784,05302;
13;80784,05302;
14;80784,05302;
15;80784,05302;
16;80784,05302;
17;80784,05302;
18;80784,05302;
19;80784,05302;
20;80784,05302;
21;80784,05302;
22;80784,05302;
23;80784,05302;
24;80784,05302;
25;80784,05302;
26;80784,05302;
27;80784,05302;
28;80784,05302;
29;80784,05302;
30;80784,05302;
31;80784,05302;
32;80784,05302;
33;80784,05302;
34;80784,05302;
35;80784,05302;
36;80784,05302;
37;80784,05302;
38;80784,05302;
39;80784,05302;
40;80784,05302;
41;79891,68994;
42;79891,68994;
43;79891,68994;
44;78865,06273;
45;78865,06273;
46;78865,06273;
47;78865,06273;
48;78865,06273;
49;78865,06273;
50;78865,06273;
51;78865,06273;
52;78865,06273;
53;78865,06273;
54;78865,06273;
55;78865,06273;
56;78865,06273;
57;75717,41780;
58;75717,41780;
59;75717,41780;
60;75717,41780;
61;75717,41780;
62;75717,41780;
63;75717,41780;
64;75717,41780;
65;75717,41780;
66;75717,41780;
67;75717,41780;
68;75717,41780;
69;75717,41780;
70;75717,41780;
71;75717,41780;
72;75717,41780;
73;75717,41780;
74;75717,41780;
75;75717,41780;
76;75717,41780;
77;75717,41780;
78;75717,41780;
79;75717,41780;
80;75717,41780;
81;75717,41780;
82;75717,41780;
83;75717,41780;
84;75717,41780;
85;75717,41780;
86;75717,41780;
87;75717,41780;
88;75717,41780;
89;75717,41780;
90;75717,41780;
91;75717,41780;
92;75717,41780;
93;75717,41780;
94;75717,41780;
95;75717,41780;
96;75717,41780;
97;75057,38959;
98;75057,38959;
99;75057,38959;
100;75057,38959;
101;75057,38959;
102;75057,38959;
103;75057,38959;
104;75057,38959;
105;75057,38959;
106;75057,38959;
107;75057,38959;
108;75057,38959;
109;75057,38959;
110;75057,38959;
111;75057,38959;
112;75057,38959;
113;75057,38959;
114;75057,38959;
115;75057,38959;
116;75057,38959;
117;75057,38959;
118;75057,38959;
119;75057,38959;
120;75057,38959;
121;75057,38959;
122;75057,38959;
123;75057,38959;
124;75057,38959;
125;75057,38959;
126;75057,38959;
127;75057,38959;
128;75057,38959;
129;75057,38959;
130;75057,38959;
131;75057,38959;
132;75057,38959;
133;75057,38959;
134;74851,26402;
135;74086,03488;
136;74086,03488;
137;74086,03488;
138;74086,03488;
139;74086,03488;
140;74086,03488;
141;74086,03488;
142;74086,03488;
143;73914,88963;
144;73914,88963;
145;73914,88963;
146;73914,88963;
147;73914,88963;
148;73914,88963;
149;73914,88963;
150;73914,88963;
151;73914,88963;
152;73914,88963;
153;73914,88963;
154;73914,88963;
155;73914,88963;
156;73914,88963;
157;73914,88963;
158;73914,88963;
159;73914,88963;
160;73914,88963;
161;73914,88963;
162;73914,88963;
163;73914,88963;
164;73914,88963;
165;73914,88963;
166;73914,88963;
167;73914,88963;
168;73914,88963;
169;73914,88963;
170;73914,88963;
171;73914,88963;
172;73914,88963;
173;73914,88963;
174;73277,10278;
175;73277,10278;
176;73277,10278;
177;73277,10278;
178;73277,10278;
179;73277,10278;
180;73277,10278;
181;73277,10278;
182;73277,10278;
183;73277,10278;
184;73277,10278;
185;73277,10278;
186;73277,10278;
187;73277,10278;
188;73277,10278;
189;73277,10278;
190;73277,10278;
191;73277,10278;
192;73277,10278;
193;73277,10278;
194;73277,10278;
195;73277,10278;
196;73277,10278;
197;72855,10084;
198;72855,10084;
199;72855,10084;
200;72855,10084;
201;72855,10084;
202;72855,10084;
203;72855,10084;
204;72855,10084;
205;72855,10084;
206;72855,10084;
207;72855,10084;
208;72855,10084;
209;72855,10084;
210;72855,10084;
211;72855,10084;
212;72855,10084;
213;72855,10084;
214;72855,10084;
215;72855,10084;
216;72855,10084;
217;72855,10084;
218;72855,10084;
219;72855,10084;
220;72855,10084;
221;72855,10084;
222;72855,10084;
223;72855,10084;
224;72855,10084;
225;72855,10084;
226;72855,10084;
227;72855,10084;
228;72855,10084;
229;72855,10084;
230;72855,10084;
231;72855,10084;
232;72855,10084;
233;72855,10084;
234;72855,10084;
235;72855,10084;
236;72855,10084;
237;72855,10084;
238;72855,10084;
239;72855,10084;
240;72855,10084;
241;72855,10084;
242;72855,10084;
243;72855,10084;
244;72855,10084;
245;72855,10084;
246;71845,31062;
247;71845,31062;
248;71845,31062;
249;71845,31062;
250;71845,31062;
251;71845,31062;
252;71845,31062;
253;71845,31062;
254;71845,31062;
255;71845,31062;
256;71845,31062;
257;71845,31062;
258;71845,31062;
259;71845,31062;
260;71845,31062;
261;71845,31062;
262;71845,31062;
263;71845,31062;
264;71845,31062;
265;71845,31062;
266;71845,31062;
267;71845,31062;
268;71845,31062;
269;71845,31062;
270;71845,31062;
271;71845,31062;
272;71845,31062;
273;71845,31062;
274;71845,31062;
275;71845,31062;
276;71845,31062;
277;71845,31062;
278;71845,31062;
279;71845,31062;
280;71845,31062;
281;71845,31062;
282;71845,31062;
283;71845,31062;
284;71845,31062;
285;71845,31062;
286;71845,31062;
287;71845,31062;
288;71845,31062;
289;71845,31062;
290;71845,31062;
291;71845,31062;
292;71845,31062;
293;71845,31062;
294;71845,31062;
295;71845,31062;
296;71845,31062;
297;71845,31062;
298;71845,31062;
299;71845,31062;
300;71845,31062;
301;71845,31062;
302;71162,39868;
303;71162,39868;
304;71162,39868;
305;71162,39868;
306;71162,39868;
307;71162,39868;
308;71162,39868;
309;71162,39868;
310;71162,39868;
311;71162,39868;
312;71162,39868;
313;71162,39868;
314;71162,39868;
315;71162,39868;
316;71162,39868;
317;71162,39868;
318;71162,39868;
319;71162,39868;
320;71162,39868;
321;70731,14376;
322;70731,14376;
323;70731,14376;
324;70731,14376;
325;70731,14376;
326;70731,14376;
327;70731,14376;
328;70731,14376;
329;70731,14376;
330;70731,14376;
331;70731,14376;
332;70731,14376;
333;70731,14376;
334;70731,14376;
335;70731,14376;
336;70731,14376;
337;70731,14376;
338;70731,14376;
339;70731,14376;
340;70731,14376;
341;70731,14376;
342;70731,14376;
343;70731,14376;
344;70731,14376;
345;70731,14376;
346;70731,14376;
347;70731,14376;
348;70731,14376;
349;70731,14376;
350;70731,14376;
351;70731,14376;
352;70731,14376;
353;70731,14376;
354;70731,14376;
355;70731,14376;
356;70731,14376;
357;70731,14376;
358;70731,14376;
359;70731,14376;
360;70731,14376;
361;70731,14376;
362;70731,14376;
363;70731,14376;
364;70731,14376;
365;70731,14376;
366;70731,14376;
367;70731,14376;
368;70731,14376;
369;70731,14376;
370;70731,14376;
371;70731,14376;
372;70731,14376;
373;70731,14376;
374;70731,14376;
375;70731,14376;
376;70731,14376;
377;70731,14376;
378;70731,14376;
379;70731,14376;
380;70731,14376;
381;70731,14376;
382;70731,14376;
383;70731,14376;
384;70731,14376;
385;70731,14376;
386;70731,14376;
387;70731,14376;
388;70731,14376;
389;70731,14376;
390;70731,14376;
391;70731,14376;
392;70731,14376;
393;70731,14376;
394;70731,14376;
395;70731,14376;
396;70731,14376;
397;70731,14376;
398;70731,14376;
399;70731,14376;
400;70731,14376;
401;70731,14376;
402;70731,14376;
403;70731,14376;
404;70731,14376;
405;70731,14376;
406;70731,14376;
407;70731,14376;
408;70731,14376;
409;70731,14376;
410;70731,14376;
411;70731,14376;
412;70731,14376;
413;70731,14376;
414;70731,14376;
415;70731,14376;
416;70731,14376;
417;70731,14376;
418;70731,14376;
419;70731,14376;
420;70731,14376;
421;70731,14376;
422;70731,14376;
423;70731,14376;
424;70731,14376;
425;70731,14376;
426;70731,14376;
427;70731,14376;
428;70731,14376;
429;70731,14376;
430;70731,14376;
431;70731,14376;
432;70731,14376;
433;70731,14376;
434;70731,14376;
435;70731,14376;
436;70731,14376;
437;70731,14376;
438;70731,14376;
439;70731,14376;
440;70731,14376;
441;70731,14376;
442;70731,14376;
443;70731,14376;
444;70731,14376;
445;70731,14376;
446;70731,14376;
447;70731,14376;
448;70731,14376;
449;70731,14376;
450;70731,14376;
451;70731,14376;
452;70731,14376;
453;70731,14376;
454;70731,14376;
455;70731,14376;
456;70731,14376;
457;70731,14376;
458;70731,14376;
459;70731,14376;
460;70731,14376;
461;70731,14376;
462;70731,14376;
463;70731,14376;
464;70731,14376;
465;70731,14376;
466;70731,14376;
467;70731,14376;
468;70731,14376;
469;70731,14376;
470;70731,14376;
471;70731,14376;
472;70731,14376;
473;70731,14376;
474;70731,14376;
475;70731,14376;
476;70731,14376;
477;70731,14376;
478;70731,14376;
479;70731,14376;
480;70731,14376;
481;70731,14376;
482;70731,14376;
483;70731,14376;
484;70731,14376;
485;70731,14376;
486;70731,14376;
487;70731,14376;
488;70731,14376;
489;70731,14376;
490;70731,14376;
491;70731,14376;
492;70731,14376;
493;70731,14376;
494;70731,14376;
495;70731,14376;
496;70731,14376;
497;70731,14376;
498;70731,14376;
499;70731,14376;
500;70731,14376;
501;70731,14376;
502;70731,14376;
503;70731,14376;
504;70731,14376;
505;70731,14376;
506;70731,14376;
507;70731,14376;
508;70731,14376;
509;70731,14376;
510;70731,14376;
511;70731,14376;
512;70731,14376;
513;70731,14376;
514;70731,14376;
515;70731,14376;
516;70731,14376;
517;70731,14376;
518;70731,14376;
519;70731,14376;
520;70731,14376;
521;70731,14376;
522;70731,14376;
523;70731,14376;
524;70673,86358;
525;70673,86358;
526;70673,86358;
527;70673,86358;
528;70673,86358;
529;70673,86358;
530;70673,86358;
531;70673,86358;
532;70673,86358;
533;70673,86358;
534;70673,86358;
535;70673,86358;
536;70673,86358;
537;70673,86358;
538;70673,86358;
539;70673,86358;
540;70673,86358;
541;70673,86358;
542;70673,86358;
543;70673,86358;
544;70673,86358;
545;70673,86358;
546;70673,86358;
547;70673,86358;
548;70673,86358;
549;70673,86358;
550;70673,86358;
551;70673,86358;
552;70673,86358;
553;70673,86358;
554;70673,86358;
555;70673,86358;
556;70673,86358;
557;70673,86358;
558;70673,86358;
559;70673,86358;
560;70673,86358;
561;70673,86358;
562;70673,86358;
563;70673,86358;
564;70673,86358;
565;70673,86358;
566;70673,86358;
567;70673,86358;
568;70673,86358;
569;70673,86358;
570;70673,86358;
571;70050,46812;
572;70050,46812;
573;70050,46812;
574;70050,46812;
575;70050,46812;
576;70050,46812;
577;70050,46812;
578;70050,46812;
579;70050,46812;
580;70050,46812;
581;70050,46812;
582;70050,46812;
583;70050,46812;
584;70050,46812;
585;70050,46812;
586;70050,46812;
587;70050,46812;
588;70050,46812;
589;69977,17435;
590;69977,17435;
591;69977,17435;
592;69977,17435;
593;69977,17435;
594;69562,48862;
595;69562,48862;
596;69562,48862;
597;69562,48862;
598;69562,48862;
599;69562,48862;
600;69562,48862;
601;69562,48862;
602;69562,48862;
603;69562,48862;
604;69562,48862;
605;69157,01329;
606;69157,01329;
607;69157,01329;
608;69157,01329;
609;69157,01329;
610;69157,01329;
611;69157,01329;
612;69157,01329;
613;69157,01329;
614;69157,01329;
615;69157,01329;
616;69157,01329;
617;69157,01329;
618;69157,01329;
619;69157,01329;
620;69157,01329;
621;69157,01329;
622;69157,01329;
623;69157,01329;
624;69157,01329;
625;69157,01329;
626;69157,01329;
627;69157,01329;
628;69157,01329;
629;69157,01329;
630;69157,01329;
631;69157,01329;
632;69157,01329;
633;69157,01329;
634;69157,01329;
635;69157,01329;
636;69157,01329;
637;69157,01329;
638;69157,01329;
639;69157,01329;
640;69157,01329;
641;69157,01329;
642;69157,01329;
643;69157,01329;
644;69157,01329;
645;69157,01329;
646;69157,01329;
647;69157,01329;
648;69157,01329;
649;69157,01329;
650;69157,01329;
651;69157,01329;
652;69157,01329;
653;69157,01329;
654;69157,01329;
655;69157,01329;
656;69157,01329;
657;69157,01329;
658;69157,01329;
659;69157,01329;
660;69157,01329;
661;69157,01329;
662;69157,01329;
663;69157,01329;
664;69157,01329;
665;69157,01329;
666;69157,01329;
667;69157,01329;
668;69157,01329;
669;69157,01329;
670;69157,01329;
671;69157,01329;
672;69157,01329;
673;69157,01329;
674;69157,01329;
675;69157,01329;
676;69157,01329;
677;69157,01329;
678;69157,01329;
679;69157,01329;
680;69157,01329;
681;69157,01329;
682;69157,01329;
683;69157,01329;
684;69157,01329;
685;69157,01329;
686;69157,01329;
687;69157,01329;
688;69157,01329;
689;69157,01329;
690;69157,01329;
691;69157,01329;
692;69157,01329;
693;69157,01329;
694;69157,01329;
695;69157,01329;
696;69157,01329;
697;69157,01329;
698;69157,01329;
699;69157,01329;
700;69157,01329;
701;69157,01329;
702;69157,01329;
703;69157,01329;
704;69157,01329;
705;69157,01329;
706;69157,01329;
707;69157,01329;
708;69157,01329;
709;69157,01329;
710;69157,01329;
711;69157,01329;
712;69157,01329;
713;69157,01329;
714;69157,01329;
715;69157,01329;
716;69157,01329;
717;69157,01329;
718;69157,01329;
719;69157,01329;
720;69157,01329;
721;69157,01329;
722;68888,49186;
723;68888,49186;
724;68888,49186;
725;68888,49186;
726;68888,49186;
727;68888,49186;
728;68888,49186;
729;68888,49186;
730;68888,49186;
731;68888,49186;
732;68888,49186;
733;68888,49186;
734;68888,49186;
735;68888,49186;
736;68888,49186;
737;68888,49186;
738;68888,49186;
739;68888,49186;
740;68888,49186;
741;68888,49186;
742;68888,49186;
743;68888,49186;
744;68888,49186;
745;68888,49186;
746;68888,49186;
747;68888,49186;
748;68888,49186;
749;68888,49186;
750;68888,49186;
751;68888,49186;
752;68888,49186;
753;68888,49186;
754;68888,49186;
755;68888,49186;
756;68888,49186;
757;68888,49186;
758;68888,49186;
759;68888,49186;
760;68888,49186;
761;68888,49186;
762;68888,49186;
763;68888,49186;
764;68888,49186;
765;68888,49186;
766;68888,49186;
767;68888,49186;
768;68888,49186;
769;68888,49186;
770;68888,49186;
771;68888,49186;
772;68888,49186;
773;68888,49186;
774;68888,49186;
775;68888,49186;
776;68888,49186;
777;68888,49186;
778;68888,49186;
779;68888,49186;
780;68888,49186;
781;68888,49186;
782;68888,49186;
783;68888,49186;
784;68888,49186;
785;68888,49186;
786;68888,49186;
787;68888,49186;
788;68888,49186;
789;68888,49186;
790;68888,49186;
791;68888,49186;
792;68888,49186;
793;68888,49186;
794;68888,49186;
795;68888,49186;
796;68888,49186;
797;68888,49186;
798;68888,49186;
799;68888,49186;
800;68888,49186;
801;68888,49186;
802;68888,49186;
803;68888,49186;
804;68888,49186;
805;68888,49186;
806;68888,49186;
807;68888,49186;
808;68888,49186;
809;68888,49186;
810;68888,49186;
811;68888,49186;
812;68888,49186;
813;68888,49186;
814;68888,49186;
815;68888,49186;
816;68888,49186;
817;68888,49186;
818;68888,49186;
819;68888,49186;
820;68888,49186;
821;68888,49186;
822;68888,49186;
823;68888,49186;
824;68888,49186;
825;68888,49186;
826;68888,49186;
827;68888,49186;
828;68888,49186;
829;68888,49186;
830;68888,49186;
831;68888,49186;
832;68888,49186;
833;68888,49186;
834;68888,49186;
835;68888,49186;
836;68888,49186;
837;68888,49186;
838;68888,49186;
839;68888,49186;
840;68888,49186;
841;68888,49186;
842;68888,49186;
843;68888,49186;
844;68888,49186;
